Kategorie,Anzahl Loesungen,Indizes der Puzzles,Anzahl der Puzzles
"(1, 0, 1, 5)",364,"[147, 1004, 1091, 1132, 1530, 1931]",6
"(1, 0, 2, 4)",614,"[180, 565, 1148, 1582, 1942, 2076]",6
"(1, 0, 2, 4)",553,"[173, 213, 220, 572, 600, 607, 1099, 1547, 1935, 2085, 2912, 3046]",12
"(1, 0, 2, 4)",437,"[129, 143, 229, 249, 1204, 1226, 1507, 1526, 1993, 2015, 2434, 2454]",12
"(1, 0, 2, 4)",406,"[202, 585, 1129, 1604, 1928, 2056]",6
"(1, 0, 2, 4)",368,"[136, 258, 264, 293, 542, 549, 1024, 1169, 1986, 2441, 2990, 3340]",12
"(1, 0, 2, 4)",364,"[127, 236, 271, 284, 540, 556, 1043, 1191, 2006, 2463, 2968, 3318]",12
"(1, 0, 2, 4)",349,"[193, 204, 206, 594, 620, 629, 1121, 1569, 1926, 2063, 2893, 3024]",12
"(1, 0, 2, 4)",310,"[150, 164, 670, 690, 1059, 1078, 1638, 1660, 1951, 1958, 1971, 1980]",12
"(1, 0, 2, 4)",302,"[148, 157, 677, 699, 2933, 2955]",6
"(1, 0, 3, 3)",720,"[637, 2072]",2
"(1, 0, 3, 3)",406,"[245, 301, 562, 2150, 2450, 2506]",6
"(1, 0, 3, 3)",390,"[659, 2053]",2
"(1, 0, 3, 3)",367,"[170, 280, 597, 686, 707, 742, 1967, 2002, 2023, 2115, 2471, 2584]",12
"(1, 0, 3, 3)",332,"[226, 323, 581, 2128, 2431, 2528]",6
"(1, 0, 3, 3)",268,"[189, 261, 616, 667, 729, 764, 1948, 1983, 2045, 2093, 2493, 2562]",12
"(1, 1, 0, 5)",524,"[797, 804, 825, 1020, 1031, 1071, 1158, 1162, 1514, 1519, 2660, 2922]",12
"(1, 1, 0, 5)",468,"[896, 1015, 1036, 1066, 1259, 2926]",6
"(1, 1, 0, 5)",456,"[881, 1003, 1057, 1088, 1274, 2905]",6
